Address,Prices,Area,toFace,type,certificate,width,length,floors,road_front,Terrace,Parking
" Đường Điện Biên Phủ, Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng"," 2,95 tỷ ", 53 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,"13,2m",3,3m,,
" Đường Đinh Tiên Hoàng, Phường Tam Thuận, Quận Thanh Khê, Đà Nẵng"," 3,63 tỷ ", 55 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"6,8m","7,6m",4,4m,,
" Đường Hoàng Thúc Trâm, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 3,9 tỷ ", 76 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,5m",17m,1,6m,---,
" Đường Lý Thường Kiệt, Phường Hải Châu I, Quận Hải Châu, Đà Nẵng", 25 tỷ , 85 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,17m,1,10m,,
" Đường Nguyễn Công Trứ, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng"," 20,2 tỷ ", 140 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,8m,16m,6,12m,,
" Đường Đặng Vũ Hỷ, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng"," 20,5 tỷ ", 800 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,8m,18m,6,12m,,
" Đường Chính Hữu, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng"," 20,4 tỷ ", 135 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"7,8m",16m,6,12m,,
" Đường Phan Đăng Lưu, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng", 8 tỷ , 90 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",20m,3,12m,,
" Đường Nguyễn Hữu Thọ, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng"," 5,6 tỷ ", 60 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,12m,4,6m,,
" Đường Chính Hữu, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng"," 20,39 tỷ ", 127 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"7,6m",16m,6,10m,,
" Đường Nguyễn Tri Phương, Phường Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng", 11 tỷ , 80 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m","17,5m",3,10m,,
" Đường Thái Thị Bôi, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng"," 5,95 tỷ ", 90 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,4m,17m,2,10m,,
" Đường Lưu Quý Kỳ, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 6,1 tỷ ", 70 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,"13,5m",3,6m,,
" Đường 2/9, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 6,3 tỷ ", 70 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,14m,3,6m,,
" Đường Nam Kỳ Khởi Nghĩa, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng"," 3,2 tỷ ", 105 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,21m,2,"7,5m",,
" Đường Trưng Nữ Vương, Phường Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng"," 9,8 tỷ ", 159 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,7m,23m,2,10m,,
" Đường Phan Tứ, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 21,79 tỷ ", 252 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,12m,21m,4,"7,5m",,
" Đường Nguyễn Phước Nguyên, Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng"," 5,25 tỷ ", 53 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,2m","12,7m",2,"7,5m",,
" Đường Hà Huy Tập, Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng"," 2,95 tỷ ", 63 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,12m,3,"3,5m",,
" Đường Lê Ấm, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng", 7 tỷ , 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,3,"5,5m",,
" Đường Nguyễn Hiến Lê, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 6,999 tỷ ", 100 m2,_,Nhà mặt tiền,---,5m,20m,3,6m,,
" Đường Lê Thanh Nghị, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"," 12,05 tỷ ", 75 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,15m,4,12m,,
" Đường Lê Thanh Nghị, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"," 12,1 tỷ ", 70 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,14m,4,11m,,
" Đường Tô Hiệu, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 5,29 tỷ ", 80 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,16m,3,8m,,
" Đường 30/4, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"," 12,03 tỷ ", 70 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,14m,4,11m,,
" Đường Lê Thanh Nghị, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"," 12,1 tỷ ", 210 m2,_,Nhà mặt tiền,---,5m,14m,4,11m,,
" Đường Trần Hưng Đạo, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 11,999 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,6,25m,,
" Đường An Thượng 37, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 8,8 tỷ ", 60 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,14m,4,"5,5m",,
" Đường Huỳnh Ngọc Huệ, Phường Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng"," 6,2 tỷ ", 110 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,21m,3,"7,5m",,
" Đường Lý Triện, Phường Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng"," 6,199 tỷ ", 120 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,22m,3,8m,,
" Đường Hà Huy Tập, Phường Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng"," 6,186 tỷ ", 110 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,22m,3,"7,5m",,
" Đường Lê Thanh Nghị, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 2,4 tỷ ", 112 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,55m,26m,4,10m,,
" Đường Yên Khê 2, Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng"," 3,8 tỷ ", 50 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,10m,3,8m,,
" Đường Hồ Xuân Hương, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"," 14,5 tỷ ", 90 m2,_,Nhà mặt tiền,---,5m,18m,5,48m,,
" Đường Hoài Thanh, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 5,68 tỷ ", 70 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,6m,12m,4,"7,5m",,
" Đường An Dương Vương, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 5,68 tỷ ", 80 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,6m,"12,5m",4,"7,5m",,
" Đường Tiểu La, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 4,6 tỷ ", 56 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,5m",12m,4,4m,,
" Đường Tô Hiệu, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 3,25 tỷ ", 70 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,6m,12m,3,3m,,
" Đường Tiểu La, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 3,888 tỷ ", 52 m2,_,Nhà trong hẻm,---,5m,11m,3,"3,5m",,
" Đường Tiểu La, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 3,29 tỷ ", 52 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,13m,2,4m,,
" Đường Phạm Văn Nghị, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng"," 4,29 tỷ ", 60 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,12m,3,3m,,
" Đường Triệu Nữ Vương, Phường Hải Châu II, Quận Hải Châu, Đà Nẵng"," 4,55 tỷ ", 50 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,10m,3,3m,,
" Đường Tiểu La, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 3,53 tỷ ", 50 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,10m,3,3m,,
" Đường Tiểu La, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 3,52 tỷ ", 150 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,6m,"8,2m",3,3m,,
" Đường Tiểu La, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 4,55 tỷ ", 51 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,10m,3,3m,,
" Đường Bà Huyện Thanh Quan, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 26,9 tỷ ", 150 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,30m,8,"7,5m",---,---
" Đường Vũ Đình Long, Phường Thọ Quang, Quận Sơn Trà, Đà Nẵng"," 5,4 tỷ ", 85 m2,Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,17m,1,"7,5m",---,
" Đường Nguyễn Văn Thoại, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng"," 8,8 tỷ ", 80 m2,Đông,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,16m,4,"7,5m",,
" Đường Lê Văn Thứ, Phường Mân Thái, Quận Sơn Trà, Đà Nẵng"," 4,3 tỷ ", 80 m2,Đông Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,16m,2,"5,5m",,---
" Đường Bà Huyện Thanh Quan, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"," 26,9 tỷ ", 150 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",33m,8,"7,5m",---,---
" Đường Trần Hưng Đạo, Phường An Hải Tây, Quận Sơn Trà, Đà Nẵng"," 23,8 tỷ ", 105 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,21m,8,20m,---,---
" Đường An Thượng 1, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng", 72 tỷ , 270 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,15m,---,8,"7,5m",---,---
" Đường Tô Hiến Thành, Phường An Hải Tây, Quận Sơn Trà, Đà Nẵng"," 6,2 tỷ ", 82 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,15m,2,"7,5m",---,---
" Đường Chính Hữu, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng"," 20,9 tỷ ", 127 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,8m,---,6,"7,5m",---,---
" Đường Âu Cơ, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng", 41 tỷ , 300 m2,Tây Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,12m,23m,4,10m,,
" Đường Kỳ Đồng, Phường Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng", 8 tỷ , 102 m2,Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,"20,5m",2,21m,,
" Đường Cù Chính Lan, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng"," 2,4 tỷ ", 74 m2,Đông Nam,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,16m,1,3m,---,---
" Đường Trung Lương 7, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 3,45 tỷ ", 154 m2,Tây,Nhà mặt tiền,---,5m,---,1,7m,---,---
" Đường Hải Hồ, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng"," 4,5 tỷ ", 67 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",15m,2,"3,5m",,
" Đường Trần Văn Dư, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 22,2 tỷ ", 251 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"8,4m",20m,4,"7,5m",,
" Đường An Trung 1, Phường An Hải Tây, Quận Sơn Trà, Đà Nẵng"," 6,9 tỷ ", 98 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,9m",20m,2,"7,5m",,
" Đường Tôn Thất Thiệp, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 4,99 tỷ ", 61 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,9m","12,9m",2,"3,7m",,
" An Trung 16 Phường An Hải Tây, Quận Sơn Trà, Đà Nẵng"," 3,8 tỷ ", 55 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,8m","11,5m",1,"3,7m",,
" Đường Mai Hắc Đế, Phường An Hải Tây, Quận Sơn Trà, Đà Nẵng", 18 tỷ , 118 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"7,8m",20m,3,15m,,
" Đường Tôn Thất Tùng, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng"," 7,5 tỷ ", 85 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",20m,3,"3,7m",,
" Đường Mai Hắc Đế, Phường An Hải Tây, Quận Sơn Trà, Đà Nẵng", 18 tỷ , 118 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"7,8m",20m,3,15m,,
" Đường Tôn Thất Tùng, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng"," 7,5 tỷ ", 85 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",20m,3,"3,7m",,
" Đường Mạc Cửu, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"," 6,15 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,2,"7,5m",,
" Đường Thanh Thủy, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng"," 6,25 tỷ ", 65 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,3m",15m,2,"7,5m",,
" Đường Trần Đại Nghĩa, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng"," 2,8 tỷ ", 87 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,"17,5m",2,"5,5m",,
" Đường An Hải 15, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng"," 2,9 tỷ ", 51 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,1m","12,5m",1,"3,7m",---,
" Đường Phạm Huy Thông, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng"," 6,9 tỷ ", 110 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"5,5m",20m,3,"10,5m",,
" Đường Lê Hữu Khánh, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng", 13 tỷ , 200 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,10m,20m,3,"7,5m",,
" Đường Nguyễn Thiện Kế, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng"," 4,95 tỷ ", 77 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"5,2m","14,8m",1,"5,5m",---,
" Đường Nguyễn Tạo, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng"," 5,99 tỷ ", 125 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,25m,3,"5,5m",,
" Đường Bà Huyện Thanh Quan, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng", 21 tỷ , 125 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,9m,16m,2,"10,5m",,
" Đường Đa Mặn 5, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"," 4,8 tỷ ", 90 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,18m,3,"5,5m",,
" Đường Võ Nguyên Giáp, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"," 27,7 tỷ ", 187 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"7,5m",25m,3,30m,,
" Đường Lưu Quý Kỳ, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"," 6,5 tỷ ", 60 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m","13,5m",4,"5,5m",,
" Đường Bùi Lâm, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng"," 3,45 tỷ ", 56 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,4m,14m,2,"5,5m",,
" Đường Chu Mạnh Trinh, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 4,95 tỷ ", 74 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m","16,4m",3,"5,5m",,
" Đường Tô Hiến Thành, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng"," 8,5 tỷ ", 76 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,9m","15,7m",6,"5,5m",,
" Đường Thạch Lam, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng"," 6,8 tỷ ", 82 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,9m","16,7m",1,"5,5m",,
" Đường Ngô Quyền, Phường Mân Thái, Quận Sơn Trà, Đà Nẵng", 4 tỷ , 43 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,7m,6m,1,30m,,
" Trường Thi Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng"," 6,4 tỷ ", 90 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,18m,2,"5,5m",,
" Trường Thi Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng"," 6,4 tỷ ", 90 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,18m,2,"5,5m",,
" Đường Nguyễn Thiện Kế, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng"," 8,6 tỷ ", 130 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"6,3m",20m,2,"5,5m",,
" Đường Trần Văn Thành, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"," 5,6 tỷ ", 78 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"7,5m",10m,3,6m,,
" Đường Tôn Quang Phiệt, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng"," 4,8 tỷ ", 90 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",20m,1,"7,5m",,
" Đường An Cư 4, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng"," 5,65 tỷ ", 67 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",15m,1,"5,5m",,
" Đường Nguyễn Tri Phương, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng"," 9,5 tỷ ", 114 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,4m,"28,6m",3,"10,5m",,
" Đường Đỗ Thúc Tịnh, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 3,9 tỷ ", 73 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"5,3m",14m,1,"7,5m",,
" Đường Núi Thành, Phường Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng"," 2,9 tỷ ", 42 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,10m,3,"2,5m",,---
" Đường Ông Ích Khiêm, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng"," 4,65 tỷ ", 54 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,3m","12,5m",3,"4,5m",,
" Đường Hàm Tử, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 6,7 tỷ ", 167 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"5,8m",28m,2,"2,3m",,---
" Đường Trần Cao Vân, Phường Tam Thuận, Quận Thanh Khê, Đà Nẵng"," 1,97 tỷ ", 50 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,10m,1,2m,,
" Đường Ngô Quyền, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng", 3 tỷ , 60 m2,Đông Bắc,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,16m,3,"2,5m",,---
" Đường Thái Thị Bôi, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng"," 3,9 tỷ ", 75 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,9m","15,3m",4,2m,,
" Đường Tân Thái 5, Phường Mân Thái, Quận Sơn Trà, Đà Nẵng", 4 tỷ , 75 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,17m,2,"3,7m",,
" Đường Trưng Nhị, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng"," 5,65 tỷ ", 101 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"3,7m",27m,2,"4,5m",,
" Đường Phạm Nhữ Tăng, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng"," 6,8 tỷ ", 81 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"5,6m","14,4m",3,"7,5m",,
" Đường Phan Thanh, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng"," 3,2 tỷ ", 50 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"5,4m",9m,3,"3,5m",,
" Đường Lương Thế Vinh, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng"," 3,09 tỷ ", 85 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"5,5m","18,7m",1,"3,5m",---,
" Đường Phạm Quang Ảnh, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng"," 5,65 tỷ ", 76 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"3,9m",20m,1,"5,5m",,
" Đường Sơn Thủy 12, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng"," 3,6 tỷ ", 80 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,16m,2,"5,5m",,
" Đường Nguyễn Đức Cảnh, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng"," 3,95 tỷ ", 58 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",13m,1,"5,5m",,
" Đường Lý Nhật Quang., Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng"," 10,5 tỷ ", 151 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"5,3m",31m,4,"10,5m",,
" Đường Ngũ Hành Sơn, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 7,6 tỷ ", 75 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,"15,4m",3,45m,,
" Đường Nguyễn Tri Phương, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng"," 9,5 tỷ ", 114 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,4m,"28,6m",3,"10,5m",,
" Đường Trương Chí Cương, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"," 4,5 tỷ ", 60 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,12m,1,"7,5m",---,
" Đường Trần Văn Thành, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"," 4,99 tỷ ", 78 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"7,5m",10m,3,6m,,
" Đường Lê Thị Xuyến, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng"," 5,6 tỷ ", 69 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,9m","14,2m",2,"5,5m",,
" Đường Phạm Huy Thông, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng"," 6,9 tỷ ", 110 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"5,5m",20m,3,"10,5m",,
" Đường Trần Phú, Phường Phước Ninh, Quận Hải Châu, Đà Nẵng"," 15,5 tỷ ", 61 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,1m",---,3,"10,5m",,
" Đường Nguyễn Hữu Thọ, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng"," 13,5 tỷ ", 85 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,1m","20,6m",3,30m,,
" Đường Nguyễn Hữu Hào, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"," 4,4 tỷ ", 90 m2,Tây Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",20m,3,"5,5m",,
" Đường Chu Mạnh Trinh, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 4,65 tỷ ", 75 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m","16,6m",2,"5,5m",,
" Đường Mai Dị, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 6,4 tỷ ", 76 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m","13,7m",4,"5,5m",,
" Đường Lê Ninh, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng", 11 tỷ , 88 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m","19,6m",5,"5,5m",,
" Đường Phạm Văn Xảo, Phường Mân Thái, Quận Sơn Trà, Đà Nẵng", 6 tỷ , 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,2,"7,5m",,
" Đường Đa Phước 10, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"," 6,2 tỷ ", 84 m2,Tây Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,17m,3,"7,5m",,
" Đường Dương Khuê, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 13,79 tỷ ", 98 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,"19,7m",6,"10,5m",,
" Đường Nguyễn Đình Chiểu, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng", 6 tỷ , 128 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,8m",25m,3,"7,5m",,
